[16-06-05] [JVM_ENTRY]: [Nathan]
[16-06-05] [THREAD STARTED]: Object Creation Logger
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-09-56-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-11-15-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-11-15-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-13-11-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-13-11-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-16-39-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-16-39-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-17-34-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-17-34-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-22-41-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-22-41-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-25-18-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-25-18-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-26-21-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-26-21-1.log
[16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-27-32-1.log
           [16-06-05] [SYSTEM_IO]: Requested deletion of: C:\Users\Nathan\Documents\IntelliJava\Cyder\logs\2022-03-22\21-27-32-1.log
