[01:09:26] [ENTRY]: [WINUSER=Nathan]
[01:09:26] [SYSTEM_IO]: [GET] [UISCALE] [RETURN VALUE] 1.0
[01:09:28] [CLIENT_IO]: [GET] [laststart] [RETURN VALUE] 1626934056954
[01:09:28] [CLIENT_IO]: [SET] [KEY] laststart [VALUE] 1626934168519
[01:09:31] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:34] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:37] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:40] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:43] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:46] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:49] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:52] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:55] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:09:58] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:01] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:04] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:07] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:10] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:13] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:16] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:19] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:22] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:25] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:28] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:31] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:34] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:37] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:40] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:43] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:46] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:49] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:52] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:55] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:10:58] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:01] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:04] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:07] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:10] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:13] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:16] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:19] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:22] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:25] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:28] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:31] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:34] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:37] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:40] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:43] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:46] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[01:11:49] [CLIENT_IO]: [GET] [showbusyicon] [RETURN VALUE] 0
[EXTERNAL STOP] Cyder was force closed by an external entity such as an IDE stop or the OS' Task Manager
